address,type,application,service,name
0x0ed7e52944161450477ee417de9cd3a859b14fd0,pancake_lp,PancakeSwap,Farming,PancakePair
0x531febfeb9a61d948c384acfbe6dcc51057aea7e,pancake_lp,PancakeSwap,Farming,PancakePair
0x7213a321f1855cf1779f42c0cd85d3d95291d34c,pancake_lp,PancakeSwap,Farming,PancakePair
0xfd94d5711b6796446b63ca5e86e1805f730d2203,pancake_lp,PancakeSwap,Farming,PancakePair
0xa39af17ce4a8eb807e076805da1e2b8ea7d0755b,pancake_lp,PancakeSwap,Farming,PancakePair
0x58f876857a02d6762e0101bb5c46a8c1ed44dc16,pancake_lp,PancakeSwap,Farming,PancakePair
0x3f23b4f1a35794306ba4f3176934012dc73312d1,pancake_lp,PancakeSwap,Farming,PancakePair
0x804678fa97d91b974ec2af3c843270886528a9e6,pancake_lp,PancakeSwap,Farming,PancakePair
0x61eb789d75a95caa3ff50ed7e47b96c132fec082,pancake_lp,PancakeSwap,Farming,PancakePair
0xf45cd219aef8618a92baa7ad848364a158a24f33,pancake_lp,PancakeSwap,Farming,PancakePair
0x74e4716e431f45807dcf19f284c7aa99f18a4fbc,pancake_lp,PancakeSwap,Farming,PancakePair
0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,pancake_lp,PancakeSwap,Farming,PancakePair
0x9949e1db416a8a05a0cac0ba6ea152ba8729e893,pancake_lp,PancakeSwap,Farming,ApePair
0x7bd46f6da97312ac2dbd1749f82e202764c0b914,pancake_lp,PancakeSwap,Farming,ApePair
0x60593abea55e9ea9d31c1b6473191cd2475a720d,pancake_lp,PancakeSwap,Farming,ApePair
0xb0aebbc35d98387c63a6e87cd2cf67ec2e5a5851,pancake_lp,PancakeSwap,Farming,ApePair
0x1b2a2f6ed4a1401e8c73b4c2b6172455ce2f78e8,pancake_ifo,PancakeSwap,IFO,IFOPool
0xa80240eb5d7e05d3f250cf000eec0891d00b51cc,pancake_vault,PancakeSwap,VaultPool,CakeVault
0xa34832efe74133763a85060a64103542031b0a7e,pancake_staking,PancakeSwap,Staked,SmartChefInitializable
0x73feaa1ee314f8c655e354234017be2193c9e24e,ignored,PancakeSwap,,MasterChef
0x72ceec6E2A142678E703aB0710DE78bc819F4cE0,ignored,PancakeSwap,,MasterChef
0x10ed43c718714eb63d5aa57b78b54704e256024e,ignored,PancakeSwap,,PancakeRouter
0x0000000000000000000000000000000000000000,ignored,,,null_address
