address,type,application,service,name
0xa28ade2f27b9554b01964fdce97ed643301411d9,UniLiquidityPool,UniSwap,Farming,UniSwapV2Pair
0x853ee4b2a13f8a742d64c8f088be7ba2131f670d,UniLiquidityPool,UniSwap,Farming,UniSwapV2Pair
0x1f1e4c845183ef6d50e9609f16f6f9cae43bc9cb,UniLiquidityPool,UniSwap,Farming,UniSwapV2Pair
0xc4a707353599436859af654f829b75e635fde289,UniLiquidityPool,UniSwap,Farming,UniSwapV2Pair
0xcd353f79d9fade311fc3119b841e1f456b54e858,UniLiquidityPool,SushiSwap,Farming,UniSwapV2Pair
0xa79983daf2a92c2c902cd74217efe3d8af9fba2a,UniLiquidityPool,SushiSwap,Farming,UniSwapV2Pair
0x85de135ff062df790a5f20b79120f17d3da63b2d,UniLiquidityPool,SushiSwap,Farming,UniSwapV2Pair
0xcbf6f78981e63ef813cb71852d72a060b583eecf,UniLiquidityPool,SushiSwap,Farming,UniSwapV2Pair
0xa5bf14bb945297447fe96f6cd1b31b40d31175cb,UniLiquidityPool,QuickSwap,Farming,UniSwapV2Pair
0x8cfd1b9b7478e7b0422916b72d1db6a9d513d734,PolycatMasterChef,PolycatSwap,Farming,MasterChef
0xa37dd1f62661eb18c338f18cf797cff8b5102d8e,IronMasterChef,IronFinance,Farming,MasterChef
0x65430393358e55a658bcde6ff69ab28cf1cbb77a,IronMasterChef,IronFinance,Farming,MasterChef
0x2df6a6b1b7aa23a842948a81714a2279e603e32f,QuickswapStaking,QuickSwap,Staking,StakingRewards
